Nom du médicament,Effets secondaires
Acid Reducer,['Aucun effet secondaire enregistré']
Antibacterial 2X,['Aucun effet secondaire enregistré']
Anticavity Rinse,"['Adverse reactions Distributed BY Meijer Distribution, Inc. Grand Rapids, MI 49544 www.meijer.com Our Quality Guarantee www.meijer.com/satisfcation how2recycle.info']"
Betamethasone Dipropionate,"['6 ADVERSE REACTIONS The most common adverse reaction reported in 0.4% of adult patients is stinging. ( 6.1 ) The most common adverse reactions reported in 10% of pediatric patients are signs of skin atrophy, telangiectasia, bruising, shininess. ( 6.1 , 8.4 ) To report SUSPECTED ADVERSE REACTIONS, contact Taro Pharmaceuticals U.S.A., Inc. at 1-866-923-4914 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. 6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in clinical practice. In controlled clinical trials, involving 242 adult subjects, the adverse reaction associated with the use of betamethasone dipropionate cream (augmented) reported at a frequency of 0.4% was stinging. It occurred in 1 subject. In a controlled clinical trial involving 67 pediatric subjects from 3 months to 12 years of age, the adverse reactions associated with the use of betamethasone dipropionate cream (augmented) occurred in 7 of 67 (10%) subjects. Reported reactions included signs of skin atrophy (telangiectasia, bruising, shininess). 6.2 Postmarketing Experience Because adverse reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Postmarketing reports for local adverse reactions to topical corticosteroids may also include: burning, itching, irritation, dryness, folliculitis, acneiform eruptions, hypopigmentation, perioral dermatitis, allergic contact dermatitis, secondary infection, hypertrichosis, skin atrophy, striae, and miliaria. Hypersensitivity reactions, consisting of predominantly skin signs and symptoms, e.g., contact dermatitis, pruritus, bullous dermatitis, and erythematous rash have been reported. Ophthalmic adverse reactions of cataracts, glaucoma, increased intraocular pressure, and central serous chorioretinopathy have been reported with the use of topical corticosteroids, including topical betamethasone products.']"
Calcium Acetate,"['6 ADVERSE REACTIONS Hypercalcemia is discussed elsewhere [see Warnings and Precautions (5.1) ]. The most common (>10%) adverse reactions are hypercalcemia, nausea and vomiting. ( 6.1 ) In clinical studies, patients have occasionally experienced nausea during calcium acetate therapy. ( 6 ) To report SUSPECTED ADVERSE REACTIONS, contact Cipla Ltd. at 1-866-604-3268 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch 6.1 Clinical Trial Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. In clinical studies, calcium acetate has been generally well tolerated. Calcium acetate was studied in a 3-month, open-label, non-randomized study of 98 enrolled ESRD hemodialysis patients and an alternate liquid formulation of calcium acetate was studied in a two week double-blind, placebo-controlled, cross-over study with 69 enrolled ESRD hemodialysis patients. Adverse reactions (>2% on treatment) from these trials are presented in Table 1. Table 1: Adverse Reactions in Patients with End-Stage Renal Disease Undergoing Hemodialysis Preferred Term Total adverse reactions reported for calcium acetate n=167 n (%) 3-month, open-label study of calcium acetate n=98 n (%) Double blind, placebo-controlled, cross-over study of liquid calcium acetate n=69 Calcium acetate n (%) Placebo n (%) Nausea 6 (3.6) 6 (6.1) 0(0.0) 0(0.0) Vomiting 4 (2.4) 4 (4.1) 0(0.0) 0(0.0) Hypercalcemia 21 (12.6) 16 (16.3) 5 (7.2) 0(0.0) Mild hypercalcemia may be asymptomatic or manifest itself as constipation, anorexia, nausea, and vomiting. More severe hypercalcemia is associated with confusion, delirium, stupor, and coma. Decreasing dialysate calcium concentration could reduce the incidence and severity of calcium acetate - induced hypercalcemia. Isolated cases of pruritus have been reported, which may represent allergic reactions. 6.2 Postmarketing Experience Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to estimate their frequency or to establish a causal relationship to drug exposure. The following additional adverse reactions have been identified during post-approval of calcium acetate: dizziness, edema, and weakness.']"
CeraVe Developed with Dermatologists Acne Control Cleanser,['Aucun effet secondaire enregistré']
Cuprum aceticum Nicotiana,['Aucun effet secondaire enregistré']
DAYDREAM CUSHION GENTLE LIGHT,['Aucun effet secondaire enregistré']
Dexbrompheniramine-DM-Phenylephrine 2-15-7.5,['Aucun effet secondaire enregistré']
Dronabinol,"['6 ADVERSE REACTIONS Most common adverse reactions (≥3%) are: abdominal pain, dizziness, euphoria, nausea, paranoid reaction, somnolence, thinking abnormal and vomiting. (6.1) To report SUSPECTED ADVERSE REACTIONS, contact Ascend Laboratories, LLC at 1-877-ASC-RX01 (1-877-272-7901) or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. 6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. The following serious adverse reactions are described below and elsewhere in the labeling. Neuropsychiatric Adverse Reactions [see Warnings and Precautions (5.1)] Hemodynamic Instability [see Warnings and Precautions (5.2)] Seizures [see Warnings and Precautions (5.3)] Paradoxical Nausea, Vomiting, and Abdominal Pain [see Warnings and Precautions (5.5)] Studies of AIDS-related weight loss included 157 patients receiving dronabinol capsules at a dose of 2.5 mg twice daily and 67 receiving placebo. Studies of nausea and vomiting related to cancer chemotherapy included 317 patients receiving dronabinol capsules and 68 receiving placebo. In the tables below is a summary of the adverse reactions in 474 patients exposed to dronabinol capsules in studies. Studies of different durations were combined by considering the first occurrence of events during the first 28 days. A cannabinoid dose-related “high” (easy laughing, elation and heightened awareness) has been reported by patients receiving dronabinol capsules in both the antiemetic (24%) and the lower dose appetite stimulant clinical trials (8%). The most frequently reported adverse experiences in patients with AIDS during placebo-controlled clinical trials involved the CNS and were reported by 33% of patients receiving dronabinol capsules. About 25% of patients reported a CNS adverse reaction during the first 2 weeks and about 4% reported such a reaction each week for the next 6 weeks thereafter. Common Adverse Reactions The following adverse reactions were reported in clinical trials at an incidence greater than 1%. System Organ Class Adverse Reactions General Asthenia Cardiovascular Palpitations, tachycardia, vasodilation/facial flush Gastrointestinal Abdominal pain*, nausea*, vomiting* Central Nervous System Dizziness*, euphoria*, paranoid reaction*, somnolence*, thinking abnormal*, amnesia, anxiety/nervousness, ataxia, confusion, depersonalization, hallucination * Actual incidence 3% to 10% Less Common Adverse Reactions The following adverse reactions were reported in clinical trials at an incidence less than or equal to 1%. System Organ Class Adverse Reactions General Chills, headache, malaise Cardiovascular Hypotension, conjunctival injection [see Clinical Pharmacology (12.2)] Gastrointestinal Diarrhea, fecal incontinence, anorexia, hepatic enzyme elevation Musculoskeletal Myalgias Central Nervous System Depression, nightmares, speech difficulties, tinnitus Respiratory Cough, rhinitis, sinusitis Skin Flushing, sweating Sensory Vision difficulties 6.2 Postmarketing Experience The following adverse reactions have been identified during post-approval use of dronabinol capsules. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. General disorders and administration site conditions: Fatigue Hypersensitivity reactions: Lip swelling, hives, disseminated rash, oral lesions, skin burning, flushing, throat tightness [see Contraindications (4)] Injury, poisoning and procedural complications: Fall [see Use in Specific Populations (8.5)] Nervous system disorders: Seizures [see Warnings and Precautions (5.3)] , disorientation, movement disorder, loss of consciousness Psychiatric disorders: Delirium, insomnia, panic attack Vascular disorders: Syncope [see Warnings and Precautions (5.2)]']"
